run_id,cast,argument,case,role,need,need_meaning,met
agreed-alone-1788814120761,0,agreed,alone,role1,water,the ground between us is water,1
agreed-alone-1788814120761,0,agreed,alone,role2,water,the ground between us is water,0
agreed-alone-1788814134224,1,agreed,alone,role1,water,the ground between us is water,1
agreed-alone-1788814134224,1,agreed,alone,role2,water,the ground between us is water,0
agreed-alone-1788814160210,2,agreed,alone,role1,water,the ground between us is water,1
agreed-alone-1788814160210,2,agreed,alone,role2,water,the ground between us is water,0
agreed-alone-1788814165004,3,agreed,alone,role1,water,the ground between us is water,1
agreed-alone-1788814165004,3,agreed,alone,role2,water,the ground between us is water,0
agreed-bridge-1-1788813826918,0,agreed,bridge-1,role1,water,the ground between us is water,1
agreed-bridge-1-1788813826918,0,agreed,bridge-1,role2,water,the ground between us is water,1
agreed-bridge-1-1788813830722,3,agreed,bridge-1,role1,water,the ground between us is water,0
agreed-bridge-1-1788813830722,3,agreed,bridge-1,role2,water,the ground between us is water,0
agreed-bridge-1-1788813837744,2,agreed,bridge-1,role1,water,the ground between us is water,0
agreed-bridge-1-1788813837744,2,agreed,bridge-1,role2,water,the ground between us is water,0
agreed-bridge-1-1788813845890,1,agreed,bridge-1,role1,water,the ground between us is water,1
agreed-bridge-1-1788813845890,1,agreed,bridge-1,role2,water,the ground between us is water,1
agreed-bridge-1788813728785,0,agreed,bridge,role1,water,the ground between us is water,1
agreed-bridge-1788813728785,0,agreed,bridge,role2,water,the ground between us is water,1
agreed-bridge-1788813743682,2,agreed,bridge,role1,water,the ground between us is water,1
agreed-bridge-1788813743682,2,agreed,bridge,role2,water,the ground between us is water,1
agreed-bridge-1788813744697,1,agreed,bridge,role1,water,the ground between us is water,1
agreed-bridge-1788813744697,1,agreed,bridge,role2,water,the ground between us is water,1
agreed-bridge-1788813782760,3,agreed,bridge,role1,water,the ground between us is water,1
agreed-bridge-1788813782760,3,agreed,bridge,role2,water,the ground between us is water,1
agreed-bridge-2-1788813878223,0,agreed,bridge-2,role1,water,the ground between us is water,1
agreed-bridge-2-1788813878223,0,agreed,bridge-2,role2,water,the ground between us is water,1
agreed-bridge-2-1788813921881,1,agreed,bridge-2,role1,water,the ground between us is water,1
agreed-bridge-2-1788813921881,1,agreed,bridge-2,role2,water,the ground between us is water,1
agreed-bridge-2-1788813954070,2,agreed,bridge-2,role1,water,the ground between us is water,0
agreed-bridge-2-1788813954070,2,agreed,bridge-2,role2,water,the ground between us is water,0
agreed-bridge-2-1788813963949,3,agreed,bridge-2,role1,water,the ground between us is water,0
agreed-bridge-2-1788813963949,3,agreed,bridge-2,role2,water,the ground between us is water,0
agreed-open-1788813376237,0,agreed,open,role1,water,the ground between us is water,0
agreed-open-1788813376237,0,agreed,open,role2,water,the ground between us is water,0
agreed-open-1788813412502,2,agreed,open,role1,water,the ground between us is water,1
agreed-open-1788813412502,2,agreed,open,role2,water,the ground between us is water,1
agreed-open-1788813414306,3,agreed,open,role1,water,the ground between us is water,1
agreed-open-1788813414306,3,agreed,open,role2,water,the ground between us is water,1
agreed-open-1788813438841,1,agreed,open,role1,water,the ground between us is water,1
agreed-open-1788813438841,1,agreed,open,role2,water,the ground between us is water,1
agreed-r1-blind-1788813524692,0,agreed,r1-blind,role1,water,the ground between us is water,1
agreed-r1-blind-1788813524692,0,agreed,r1-blind,role2,water,the ground between us is water,1
agreed-r1-blind-1788813577958,1,agreed,r1-blind,role1,water,the ground between us is water,1
agreed-r1-blind-1788813577958,1,agreed,r1-blind,role2,water,the ground between us is water,1
agreed-r1-blind-1788813599602,2,agreed,r1-blind,role1,water,the ground between us is water,1
agreed-r1-blind-1788813599602,2,agreed,r1-blind,role2,water,the ground between us is water,1
agreed-r1-blind-1788813637474,3,agreed,r1-blind,role1,water,the ground between us is water,0
agreed-r1-blind-1788813637474,3,agreed,r1-blind,role2,water,the ground between us is water,0
agreed-r2-blind-1788813475824,0,agreed,r2-blind,role1,water,the ground between us is water,1
agreed-r2-blind-1788813475824,0,agreed,r2-blind,role2,water,the ground between us is water,1
agreed-r2-blind-1788813493948,1,agreed,r2-blind,role1,water,the ground between us is water,1
agreed-r2-blind-1788813493948,1,agreed,r2-blind,role2,water,the ground between us is water,1
agreed-r2-blind-1788813519117,3,agreed,r2-blind,role1,water,the ground between us is water,1
agreed-r2-blind-1788813519117,3,agreed,r2-blind,role2,water,the ground between us is water,1
agreed-r2-blind-1788813530141,2,agreed,r2-blind,role1,water,the ground between us is water,1
agreed-r2-blind-1788813530141,2,agreed,r2-blind,role2,water,the ground between us is water,1
agreed-silent-1788813956206,0,agreed,silent,role1,water,the ground between us is water,1
agreed-silent-1788813956206,0,agreed,silent,role2,water,the ground between us is water,1
agreed-silent-1788814004929,1,agreed,silent,role1,water,the ground between us is water,1
agreed-silent-1788814004929,1,agreed,silent,role2,water,the ground between us is water,1
agreed-silent-1788814033423,2,agreed,silent,role1,water,the ground between us is water,1
agreed-silent-1788814033423,2,agreed,silent,role2,water,the ground between us is water,1
agreed-silent-1788814049113,3,agreed,silent,role1,water,the ground between us is water,1
agreed-silent-1788814049113,3,agreed,silent,role2,water,the ground between us is water,1
agreed-together-1788814007901,0,agreed,together,role1,water,the ground between us is water,0
agreed-together-1788814007901,0,agreed,together,role2,water,the ground between us is water,0
agreed-together-1788814024824,1,agreed,together,role1,water,the ground between us is water,0
agreed-together-1788814024824,1,agreed,together,role2,water,the ground between us is water,0
agreed-together-1788814063559,2,agreed,together,role1,water,the ground between us is water,0
agreed-together-1788814063559,2,agreed,together,role2,water,the ground between us is water,0
agreed-together-1788814082568,3,agreed,together,role1,water,the ground between us is water,1
agreed-together-1788814082568,3,agreed,together,role2,water,the ground between us is water,1
agreed-words-1788813629539,0,agreed,words,role1,water,the ground between us is water,1
agreed-words-1788813629539,0,agreed,words,role2,water,the ground between us is water,1
agreed-words-1788813643154,1,agreed,words,role1,water,the ground between us is water,1
agreed-words-1788813643154,1,agreed,words,role2,water,the ground between us is water,1
agreed-words-1788813676266,2,agreed,words,role1,water,the ground between us is water,1
agreed-words-1788813676266,2,agreed,words,role2,water,the ground between us is water,1
agreed-words-1788813712052,3,agreed,words,role1,water,the ground between us is water,1
agreed-words-1788813712052,3,agreed,words,role2,water,the ground between us is water,1
loads-alone-1788813321330,1,loads,alone,role1,light,it needs to hold one person only,0
loads-alone-1788813321330,1,loads,alone,role2,heavy,it needs to take loads and carts,0
loads-alone-1788813326915,0,loads,alone,role1,light,it needs to hold one person only,0
loads-alone-1788813326915,0,loads,alone,role2,heavy,it needs to take loads and carts,1
loads-alone-1788813340841,3,loads,alone,role1,light,it needs to hold one person only,0
loads-alone-1788813340841,3,loads,alone,role2,heavy,it needs to take loads and carts,0
loads-alone-1788813360325,2,loads,alone,role1,light,it needs to hold one person only,0
loads-alone-1788813360325,2,loads,alone,role2,heavy,it needs to take loads and carts,1
loads-bridge-1-1788813030802,0,loads,bridge-1,role1,light,it needs to hold one person only,0
loads-bridge-1-1788813030802,0,loads,bridge-1,role2,heavy,it needs to take loads and carts,0
loads-bridge-1-1788813041029,1,loads,bridge-1,role1,light,it needs to hold one person only,0
loads-bridge-1-1788813041029,1,loads,bridge-1,role2,heavy,it needs to take loads and carts,1
loads-bridge-1-1788813053712,2,loads,bridge-1,role1,light,it needs to hold one person only,1
loads-bridge-1-1788813053712,2,loads,bridge-1,role2,heavy,it needs to take loads and carts,1
loads-bridge-1-1788813068194,3,loads,bridge-1,role1,light,it needs to hold one person only,0
loads-bridge-1-1788813068194,3,loads,bridge-1,role2,heavy,it needs to take loads and carts,0
loads-bridge-1788812946399,2,loads,bridge,role1,light,it needs to hold one person only,0
loads-bridge-1788812946399,2,loads,bridge,role2,heavy,it needs to take loads and carts,0
loads-bridge-1788812961538,0,loads,bridge,role1,light,it needs to hold one person only,0
loads-bridge-1788812961538,0,loads,bridge,role2,heavy,it needs to take loads and carts,0
loads-bridge-1788812966179,3,loads,bridge,role1,light,it needs to hold one person only,0
loads-bridge-1788812966179,3,loads,bridge,role2,heavy,it needs to take loads and carts,0
loads-bridge-1788812988216,1,loads,bridge,role1,light,it needs to hold one person only,0
loads-bridge-1788812988216,1,loads,bridge,role2,heavy,it needs to take loads and carts,1
loads-bridge-2-1788813103338,0,loads,bridge-2,role1,light,it needs to hold one person only,0
loads-bridge-2-1788813103338,0,loads,bridge-2,role2,heavy,it needs to take loads and carts,0
loads-bridge-2-1788813125847,1,loads,bridge-2,role1,light,it needs to hold one person only,0
loads-bridge-2-1788813125847,1,loads,bridge-2,role2,heavy,it needs to take loads and carts,1
loads-bridge-2-1788813129359,2,loads,bridge-2,role1,light,it needs to hold one person only,0
loads-bridge-2-1788813129359,2,loads,bridge-2,role2,heavy,it needs to take loads and carts,1
loads-bridge-2-1788813146551,3,loads,bridge-2,role1,light,it needs to hold one person only,0
loads-bridge-2-1788813146551,3,loads,bridge-2,role2,heavy,it needs to take loads and carts,0
loads-open-1788812613327,0,loads,open,role1,light,it needs to hold one person only,0
loads-open-1788812613327,0,loads,open,role2,heavy,it needs to take loads and carts,1
loads-open-1788812661071,1,loads,open,role1,light,it needs to hold one person only,0
loads-open-1788812661071,1,loads,open,role2,heavy,it needs to take loads and carts,1
loads-open-1788812685915,3,loads,open,role1,light,it needs to hold one person only,0
loads-open-1788812685915,3,loads,open,role2,heavy,it needs to take loads and carts,1
loads-open-1788812701487,2,loads,open,role1,light,it needs to hold one person only,0
loads-open-1788812701487,2,loads,open,role2,heavy,it needs to take loads and carts,1
loads-r1-blind-1788812751661,2,loads,r1-blind,role1,light,it needs to hold one person only,0
loads-r1-blind-1788812751661,2,loads,r1-blind,role2,heavy,it needs to take loads and carts,0
loads-r1-blind-1788812792914,1,loads,r1-blind,role1,light,it needs to hold one person only,0
loads-r1-blind-1788812792914,1,loads,r1-blind,role2,heavy,it needs to take loads and carts,0
loads-r1-blind-1788812819905,0,loads,r1-blind,role1,light,it needs to hold one person only,0
loads-r1-blind-1788812819905,0,loads,r1-blind,role2,heavy,it needs to take loads and carts,1
loads-r1-blind-1788812872720,3,loads,r1-blind,role1,light,it needs to hold one person only,0
loads-r1-blind-1788812872720,3,loads,r1-blind,role2,heavy,it needs to take loads and carts,1
loads-r2-blind-1788812695993,1,loads,r2-blind,role1,light,it needs to hold one person only,0
loads-r2-blind-1788812695993,1,loads,r2-blind,role2,heavy,it needs to take loads and carts,1
loads-r2-blind-1788812712397,0,loads,r2-blind,role1,light,it needs to hold one person only,0
loads-r2-blind-1788812712397,0,loads,r2-blind,role2,heavy,it needs to take loads and carts,0
