run_id,cast,argument,case,case_label,role1_model,role2_model,builder_model,role1_hears_other,role1_hears_builder,role2_hears_other,role2_hears_builder,opens,solo,confer_turns,built_id,built_name,ground,builtB_id,builtB_name,built_props,builtB_props,role1_needs,role2_needs,role1_met,role2_met,role1_met_n,role1_needs_n,role2_met_n,role2_needs_n,ceiling_n,turns,ended_by,last_moved,role1_spoke,role1_lost,role2_spoke,role2_lost,said,caught,partly,invented,wordlist_agreed,retries,ran_at
agreed-alone-1788814120761,0,agreed,alone,Each alone,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,true,,raised-rail-none-one-struts-bare-rested-roof,"A raised crossing with a rail, struts and a roof",water at the bottom of a drop,raised-rail-none-one-struts-bare-rested-roof,"A raised crossing with a rail, struts and a roof",high guarded steady sheltered water rock,high guarded steady sheltered,water,water,water,,1,1,0,1,2,10,turn cap,9,5,0,4,0,9,0,9,6,0,0,2026-09-07T20:48:40.758Z
agreed-alone-1788814134224,1,agreed,alone,Each alone,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,true,,raised-rail-none-one-none-bare-rested-open,A raised crossing with a rail,water,raised-rail-none-one-none-bare-rested-roof,A raised crossing with a rail and a roof,high guarded sways light water,high guarded sways light sheltered rock,water,water,water,,1,1,0,1,2,10,turn cap,7,5,0,3,2,8,2,7,7,0,13,2026-09-07T20:48:54.221Z
agreed-alone-1788814160210,2,agreed,alone,Each alone,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,true,,at-rail-none-one-struts-bare-footed-open,"A crossing with a rail, struts and footed ends",water,raised-rail-none-one-struts-rough-footed-open,"A raised crossing with a rail, struts, a coarse surface and footed ends",low guarded steady footed water,high guarded steady grip footed,water,water,water,,1,1,0,1,2,10,turn cap,8,5,0,4,1,9,1,9,7,0,7,2026-09-07T20:49:20.208Z
agreed-alone-1788814165004,3,agreed,alone,Each alone,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,true,,raised-rail-none-one-struts-rough-footed-open,"A raised crossing with a rail, struts, a coarse surface and footed ends",water,raised-rail-none-one-none-rough-footed-open,"A raised crossing with a rail, a coarse surface and footed ends",high guarded steady grip footed water,high guarded sways light grip footed,water,water,water,,1,1,0,1,2,10,turn cap,10,5,0,5,0,10,3,10,3,0,0,2026-09-07T20:49:25.002Z
agreed-bridge-1-1788813826918,0,agreed,bridge-1,"Only Role 1 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,false,role1,false,,at-rail-none-two-struts-rough-footed-open,"A crossing with a rail, two abreast, struts, a coarse surface and footed ends",water,,,low guarded many steady heavy grip footed water,,water,water,water,water,1,1,1,1,0,10,turn cap,5,5,0,5,0,10,4,10,3,0,0,2026-09-07T20:43:46.914Z
agreed-bridge-1-1788813830722,3,agreed,bridge-1,"Only Role 1 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,false,role1,false,,at-none-none-one-struts-rough-rested-open,A crossing with struts and a coarse surface,ground nobody has described,,,low exposed open steady grip,,water,water,,,0,1,0,1,0,10,turn cap,6,5,0,5,0,10,3,9,1,0,0,2026-09-07T20:43:50.721Z
agreed-bridge-1-1788813837744,2,agreed,bridge-1,"Only Role 1 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,false,role1,false,,at-rail-none-one-struts-bare-footed-open,"A crossing with a rail, struts and footed ends",ground nobody has described,,,low guarded steady footed,,water,water,,,0,1,0,1,0,9,they ran out of new things to say and it had stopped mattering,5,5,0,4,0,9,1,7,4,2,0,2026-09-07T20:43:57.743Z
agreed-bridge-1-1788813845890,1,agreed,bridge-1,"Only Role 1 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,false,role1,false,,at-rail-tower-one-struts-bare-rested-open,"A crossing with a rail, a tower in the gap and struts",water at the bottom of a drop,,,low guarded inGap steady heavy water rock,,water,water,water,water,1,1,1,1,0,10,turn cap,10,5,0,5,0,10,2,7,3,0,0,2026-09-07T20:44:05.888Z
agreed-bridge-1788813728785,0,agreed,bridge,They have only the crossing,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,false,,at-rail-none-one-struts-bare-footed-open,"A crossing with a rail, struts and footed ends",water,,,low guarded steady footed water,,water,water,water,water,1,1,1,1,0,10,turn cap,8,5,0,5,0,10,2,10,6,0,0,2026-09-07T20:42:08.783Z
agreed-bridge-1788813743682,2,agreed,bridge,They have only the crossing,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,false,,raised-rail-none-two-struts-rough-rested-open,"A raised crossing with a rail, two abreast, struts and a coarse surface",water,,,high guarded many steady heavy grip water,,water,water,water,water,1,1,1,1,0,10,turn cap,9,5,0,4,1,9,3,8,2,0,9,2026-09-07T20:42:23.680Z
agreed-bridge-1788813744697,1,agreed,bridge,They have only the crossing,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,false,,raised-rail-none-one-struts-bare-footed-open,"A raised crossing with a rail, struts and footed ends",water,,,high guarded steady footed water,,water,water,water,water,1,1,1,1,0,10,turn cap,10,5,0,4,1,9,2,9,2,1,6,2026-09-07T20:42:24.696Z
agreed-bridge-1788813782760,3,agreed,bridge,They have only the crossing,gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,true,false,true,role1,false,,raised-rail-none-one-struts-rough-footed-open,"A raised crossing with a rail, struts, a coarse surface and footed ends",water,,,high guarded steady grip footed water,,water,water,water,water,1,1,1,1,0,10,turn cap,7,5,0,5,0,10,2,10,4,0,0,2026-09-07T20:43:02.759Z
agreed-bridge-2-1788813878223,0,agreed,bridge-2,"Only Role 2 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,false,false,true,role1,false,,at-rail-none-one-struts-bare-footed-open,"A crossing with a rail, struts and footed ends",water,,,low guarded steady footed water,,water,water,water,water,1,1,1,1,0,10,turn cap,7,5,0,5,0,10,4,9,4,1,0,2026-09-07T20:44:38.220Z
agreed-bridge-2-1788813921881,1,agreed,bridge-2,"Only Role 2 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,false,false,true,role1,false,,raised-rail-none-one-struts-rough-footed-open,"A raised crossing with a rail, struts, a coarse surface and footed ends",water,,,high guarded steady grip footed water,,water,water,water,water,1,1,1,1,0,10,turn cap,9,5,0,5,0,10,2,10,4,0,0,2026-09-07T20:45:21.879Z
agreed-bridge-2-1788813954070,2,agreed,bridge-2,"Only Role 2 can see the crossing, and neither hears the other",gpt-4o,claude-opus-5,gemini-flash-lite-latest,false,false,false,true,role1,false,,at-rail-none-one-struts-bare-footed-open,"A crossing with a rail, struts and footed ends",a drop in rock,,,low guarded steady footed rock,,water,water,,,0,1,0,1,0,10,turn cap,3,5,0,5,0,10,3,10,4,0,4,2026-09-07T20:45:54.068Z
